CaseNum,Status,Date,Generated_at,Status_Short
1990288120,Case Was Approved,"December 8, 2021",,4-Approved
1990306230,Case Was Approved,"December 8, 2021",,4-Approved
1990078952,RFE Sent,"December 9, 2021",,2a-RFE
1990111047,Card Was Mailed To Me,"December 9, 2021",,4-Approved
1990250013,Interview Was Scheduled,"December 9, 2021",,3-Interview
1990284788,New Card Is Being Produced,"December 9, 2021",,4-Approved
1990284791,New Card Is Being Produced,"December 9, 2021",,4-Approved
1990284794,New Card Is Being Produced,"December 9, 2021",,4-Approved
1990284797,New Card Is Being Produced,"December 9, 2021",,4-Approved
1990288111,Card Was Mailed To Me,"December 9, 2021",,4-Approved
1990288114,Card Was Mailed To Me,"December 9, 2021",,4-Approved
1990288117,Card Was Mailed To Me,"December 9, 2021",,4-Approved
1990288120,Card Was Mailed To Me,"December 9, 2021",,4-Approved
1990312564,RFE Sent,"December 9, 2021",,2a-RFE
1990312567,RFE Sent,"December 9, 2021",,2a-RFE
1990312570,RFE Sent,"December 9, 2021",,2a-RFE
1990312573,RFE Sent,"December 9, 2021",,2a-RFE
1990312576,RFE Sent,"December 9, 2021",,2a-RFE
1990324109,Card Was Delivered,"December 9, 2021",,4-Approved
1990324112,Card Was Delivered,"December 9, 2021",,4-Approved
1990326936,RFE Sent,"December 9, 2021",,2a-RFE
1990284788,Case Was Approved,"December 10, 2021",,4-Approved
1990284791,Case Was Approved,"December 10, 2021",,4-Approved
1990284794,Case Was Approved,"December 10, 2021",,4-Approved
1990284797,Case Was Approved,"December 10, 2021",,4-Approved
1990306230,Card Was Mailed To Me,"December 10, 2021",,4-Approved
1990336457,RFE Sent,"December 10, 2021",,2a-RFE
1990336459,RFE Sent,"December 10, 2021",,2a-RFE
1990336461,RFE Sent,"December 10, 2021",,2a-RFE
1990111047,Card Was Delivered,"December 11, 2021",,4-Approved
1990187547,Card Was Delivered,"December 13, 2021",,4-Approved
1990284788,Card Was Mailed To Me,"December 13, 2021",,4-Approved
1990284791,Card Was Mailed To Me,"December 13, 2021",,4-Approved
1990284794,Card Was Mailed To Me,"December 13, 2021",,4-Approved
1990284797,Card Was Mailed To Me,"December 13, 2021",,4-Approved
1990082354,RFE Responded,"December 14, 2021",,2a-RFE
1990224574,Case Was Denied,"December 14, 2021",,4-Denied
1990271381,RFE Responded,"December 14, 2021",,2a-RFE
1990271384,RFE Responded,"December 14, 2021",,2a-RFE
1990271387,RFE Responded,"December 14, 2021",,2a-RFE
1990271390,RFE Responded,"December 14, 2021",,2a-RFE
1990305917,RFE Responded,"December 14, 2021",,2a-RFE
1990306230,Card Was Delivered,"December 14, 2021",,4-Approved
1990111049,RFE Responded,"December 15, 2021",,2a-RFE
1990111051,RFE Responded,"December 15, 2021",,2a-RFE
